1.0,76.9,77.7
2.0,68.07,66.3
3.0,58.5,57.7
4.0,53.43,53.8
5.0,48.93,46.0
6.0,43.8,43.0
7.0,41.67,40.1
8.0,38.97,35.8
9.0,36.13,32.7
10.0,32.77,31.3
11.0,31.77,30.6
12.0,31.4,29.9
13.0,30.1,28.5
14.0,28.5,26.3
15.0,27.5,25.6
16.0,25.17,24.2
17.0,25.03,23.1
18.0,24.13,21.9
19.0,23.07,21.1
20.0,22.43,19.8
21.0,22.37,20.8
22.0,21.03,20.5
23.0,20.73,18.3
24.0,19.6,18.9
25.0,17.8,15.6
26.0,18.17,16.0
27.0,17.17,15.7
28.0,17.73,15.6
29.0,16.4,14.3
30.0,17.07,15.4
31.0,15.7,14.9
32.0,14.97,13.0
33.0,14.53,13.5
34.0,13.8,11.1
35.0,13.27,11.2
36.0,13.73,12.4
37.0,13.5,12.1
38.0,12.3,11.1
39.0,13.17,12.1
40.0,11.93,10.8
41.0,12.0,10.9
42.0,12.17,11.1
43.0,11.27,10.3
44.0,11.83,10.2
45.0,11.27,10.4
46.0,11.43,10.1
47.0,11.03,10.3
48.0,10.23,8.7
49.0,10.2,9.1
50.0,9.83,9.3
51.0,9.8,8.9
52.0,9.47,8.6
53.0,10.2,8.7
54.0,10.3,9.0
55.0,9.17,8.0
56.0,9.97,8.5
57.0,9.23,7.6
58.0,9.2,8.0
59.0,9.13,8.3
60.0,8.8,7.5
61.0,8.8,7.3
62.0,8.47,7.8
63.0,8.37,7.9
64.0,8.17,7.1
65.0,8.83,8.1
66.0,8.67,7.2
67.0,8.3,6.9
68.0,8.9,8.2
69.0,8.3,7.2
70.0,7.6,6.6
71.0,8.0,7.1
72.0,7.0,6.1
73.0,8.03,7.4
74.0,7.63,6.7
75.0,6.87,5.8
76.0,6.87,6.4
77.0,7.03,6.0
78.0,6.5,5.8
79.0,6.8,5.8
80.0,6.17,4.6
81.0,6.73,5.2
82.0,6.73,6.5
83.0,6.57,5.3
84.0,6.7,5.7
85.0,6.53,5.2
86.0,6.7,5.4
87.0,6.97,5.4
88.0,7.1,5.9
89.0,7.03,6.0
90.0,6.3,5.3
91.0,6.4,5.7
92.0,7.2,6.3
93.0,7.6,6.5
94.0,6.53,5.6
95.0,6.33,5.8
96.0,6.77,5.5
97.0,5.83,5.7
98.0,6.4,5.9
99.0,6.67,6.5
100.0,7.5,6.5
101.0,7.43,6.0
102.0,6.3,5.8
103.0,6.23,5.1
104.0,6.67,5.2
105.0,6.2,5.0
106.0,6.53,6.6
107.0,6.63,6.9
108.0,6.73,4.8
109.0,6.5,5.7
110.0,6.8,5.8
111.0,5.97,5.4
112.0,6.73,5.6
113.0,6.23,5.8
114.0,6.5,5.0
115.0,6.47,5.6
116.0,6.33,5.2
117.0,7.03,6.3
118.0,5.8,4.2
119.0,6.37,5.1
120.0,7.3,6.8
121.0,6.37,5.1
122.0,6.57,4.7
123.0,7.1,6.2
124.0,7.2,5.6
125.0,6.47,5.1
126.0,7.13,5.3
127.0,7.77,6.2
128.0,7.07,6.0
129.0,7.0,6.2
130.0,7.03,6.0
131.0,7.23,5.5
132.0,7.13,5.5
133.0,7.0,6.0
134.0,6.73,5.8
135.0,6.87,5.8
136.0,6.67,5.1
137.0,6.5,5.3
138.0,7.87,6.6
139.0,6.43,5.3
140.0,7.03,5.5
141.0,7.17,5.3
142.0,7.23,6.8
143.0,7.13,6.4
144.0,6.17,4.9
145.0,8.03,6.7
146.0,7.3,5.6
147.0,6.7,5.3
148.0,6.87,5.4
149.0,7.2,5.9
150.0,7.3,6.3
151.0,7.1,5.5
152.0,7.33,6.2
153.0,7.9,6.7
154.0,7.97,7.0
155.0,7.23,6.2
156.0,6.1,4.7
157.0,6.63,4.8
158.0,6.77,5.4
159.0,6.23,4.7
160.0,6.5,6.1
161.0,7.3,5.2
162.0,7.8,5.9
163.0,6.83,5.1
164.0,7.53,5.6
165.0,7.07,4.8
166.0,5.97,4.9
167.0,6.8,4.9
168.0,7.2,5.9
169.0,6.07,4.7
170.0,6.73,5.1
171.0,7.23,5.8
172.0,7.53,6.0
173.0,6.77,5.5
174.0,6.67,5.4
175.0,7.77,6.7
176.0,7.2,6.6
177.0,7.3,5.7
178.0,7.0,5.5
179.0,7.2,6.2
180.0,6.73,5.9
181.0,6.73,5.9
182.0,7.27,5.5
183.0,6.6,5.4
184.0,7.23,6.3
185.0,6.37,5.0
186.0,6.3,4.5
187.0,6.97,5.5
188.0,6.5,6.0
189.0,7.0,5.8
190.0,8.07,6.3
191.0,7.37,6.3
192.0,7.7,6.3
193.0,7.27,6.2
194.0,7.0,6.0
195.0,6.43,5.4
196.0,6.67,6.3
197.0,6.53,5.0
198.0,6.67,5.7
199.0,7.67,6.7
200.0,7.33,5.6
201.0,8.0,7.1
202.0,7.37,6.6
203.0,7.17,6.2
204.0,7.67,6.5
205.0,7.13,5.5
206.0,7.03,5.4
207.0,7.2,6.4
208.0,6.97,5.7
209.0,7.2,5.7
210.0,7.3,6.1
211.0,6.9,5.7
212.0,6.3,5.1
213.0,7.67,6.4
214.0,6.5,4.5
215.0,7.83,6.3
216.0,7.53,6.5
217.0,6.9,6.4
218.0,7.43,6.1
219.0,7.6,7.3
220.0,7.6,6.4
221.0,7.77,6.5
222.0,7.3,6.4
223.0,7.07,5.5
224.0,7.27,5.8
225.0,6.77,5.7
226.0,7.03,5.1
227.0,6.53,5.1
228.0,6.83,5.1
229.0,6.87,5.1
230.0,7.7,6.3
231.0,6.93,5.5
232.0,6.0,4.7
233.0,6.73,6.1
234.0,5.8,4.0
235.0,5.93,4.7
236.0,7.1,5.3
237.0,6.03,4.9
238.0,7.27,5.7
239.0,7.8,6.2
240.0,7.47,5.8
241.0,6.9,5.6
242.0,7.3,6.2
243.0,7.33,5.7
244.0,7.53,6.4
245.0,7.03,5.9
246.0,7.8,6.2
247.0,7.07,6.2
248.0,7.13,5.6
249.0,7.4,5.8
250.0,7.6,6.9
251.0,7.07,6.7
252.0,6.4,5.3
253.0,7.87,6.4
254.0,7.13,5.9
255.0,7.73,6.6
256.0,7.0,5.6
257.0,7.43,6.4
258.0,7.9,5.9
259.0,8.23,6.4
260.0,6.93,5.9
261.0,6.53,5.3
262.0,7.77,6.5
263.0,7.4,6.7
264.0,7.63,6.6
265.0,6.77,6.1
266.0,7.67,5.9
267.0,6.33,4.9
268.0,6.73,5.7
269.0,7.2,6.6
270.0,6.13,5.1
271.0,6.83,6.0
272.0,6.77,5.6

